cue_en,target_en,condition,route_cue_zh,route_target_zh,str_en,"str_zh, alignment weighted",str_zh,rw_en,"rw_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_cue_other_translations,route_target_other_translations,cov_distance,cue_len,target_len,cue_zh,target_zh,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,changed,reason,cue_duplicated,target_duplicated,has_duplicate
account,balance,M-E+,,,0.0223214291036129,0.0,,0.15265041589736938,0.00703414436429739,5.0,0.0,,,,,,,0.617073759663264,7,7,账号,平衡,0.7418077,0.6917427,0.7167752,0.2522241,0.07923774,0.16573091,,,,,
account,charge,M-E+,,,0.01785714365541935,0.0,,0.25681740045547485,0.008441010490059853,4.0,0.0,,,,,,,0.6232089092130843,7,6,账号,职责,0.7418077,0.58912575,0.6654667,0.2522241,0.010536206,0.13138014,,,,,
achieve,success,M+E+,完成,成功,0.07975459843873978,0.014742002822458744,,0.5187669992446899,0.07055719196796417,13.0,1.7248144149780273,0.3289895057678222,0.2427760362625122,0.2874690592288971,1.0,"[{'zh': '达到', 'rcs': 0.4065759181976318, 'w': 0.36801339925295073}, {'zh': '实现', 'rcs': 0.4663167297840118, 'w': 0.3445175505939752}]",[],0.712935216486406,7,7,达到,成功,0.65886277,0.7269733,0.69291806,0.1424084,0.11341564,0.12791201,,,,,
achieve,reality,M+E-,实现,现实,0.0,0.013812705874443054,,0.026933597400784492,0.09599140286445618,0.0,1.6989628076553345,0.4663167297840118,0.4420258700847626,0.3445175588130951,0.6164282560348511,"[{'zh': '达到', 'rcs': 0.4065759181976318, 'w': 0.36801339925295073}, {'zh': '完成', 'rcs': 0.3289895057678222, 'w': 0.287469050153074}]","[{'zh': '事实', 'rcs': 0.2586170732975006, 'w': 0.22755360292385954}, {'zh': '真实', 'rcs': 0.3795920014381408, 'w': 0.15601814903442446}]",0.9330351442892258,7,7,达到,现实,0.65886277,0.7075588,0.6832108,0.1424084,0.4174735,0.27994096,,,,,
achieve,settle,M+E-,完成,结束,0.0,0.0131742088124156,,0.0473974235355854,0.04057689011096954,0.0,1.5413823127746582,0.3289895057678222,0.2455190867185592,0.2874690592288971,0.33511918783187866,"[{'zh': '达到', 'rcs': 0.4065759181976318, 'w': 0.36801339925295073}, {'zh': '实现', 'rcs': 0.4663167297840118, 'w': 0.3445175505939752}]","[{'zh': '解决', 'rcs': 0.3870369493961334, 'w': 0.3373261117910789}, {'zh': '确定', 'rcs': 0.2810892164707184, 'w': 0.3275546914876675}]",1.0606575055218057,7,6,达到,解决,0.65886277,0.62319684,0.64102983,0.1424084,0.0331699,0.08778915,,,,,
achieve,terminate,M+E-,完成,结束,0.0,0.012313004583120346,,0.06937192380428314,0.03792436420917511,0.0,1.4406214952468872,0.3289895057678222,0.3381055891513824,0.2874690592288971,0.3132123053073883,"[{'zh': '达到', 'rcs': 0.4065759181976318, 'w': 0.36801339925295073}, {'zh': '实现', 'rcs': 0.4663167297840118, 'w': 0.3445175505939752}]","[{'zh': '停止', 'rcs': 0.4044840633869171, 'w': 0.39661771489729336}, {'zh': '终止', 'rcs': 0.4210931062698364, 'w': 0.2901699738021876}]",1.1052175829663364,7,9,达到,停止,0.65886277,0.5907005,0.6247816,0.1424084,0.08324313,0.112825766,,,,,
achieve,cease,M+E-,完成,结束,0.0,0.012157668359577656,,0.05932175740599632,0.037445925176143646,0.0,1.4224472045898438,0.3289895057678222,0.3933380842208862,0.2874690592288971,0.30926093459129333,"[{'zh': '达到', 'rcs': 0.4065759181976318, 'w': 0.36801339925295073}, {'zh': '实现', 'rcs': 0.4663167297840118, 'w': 0.3445175505939752}]","[{'zh': '停止', 'rcs': 0.4890242516994476, 'w': 0.4069805859398511}, {'zh': '终止', 'rcs': 0.4851788878440857, 'w': 0.28375847154964473}]",0.9793694298385578,7,5,达到,停止,0.65886277,0.6730965,0.6659796,0.1424084,0.07399966,0.10820403,,,,,
achieve,arrival,M+E-,达到,到达,0.0,0.008721374906599522,,0.04361067712306976,0.08170060068368912,0.0,1.0901719331741333,0.4065759181976318,0.3160285949707031,0.3680134117603302,0.4231879413127899,"[{'zh': '实现', 'rcs': 0.4663167297840118, 'w': 0.3445175505939752}, {'zh': '完成', 'rcs': 0.3289895057678222, 'w': 0.287469050153074}]","[{'zh': '到来', 'rcs': 0.2654809355735779, 'w': 0.5768120468939372}]",0.7330111944826962,7,7,达到,到来,0.65886277,0.74324226,0.70105255,0.1424084,0.16478576,0.15359709,,,,,
achieve,succeed,M-E+,,,0.1349693238735199,0.0,,0.5609781742095947,0.021015571430325508,22.0,0.0,,,,,,,0.1419155738518955,7,7,达到,继承,0.65886277,0.5252706,0.59206665,0.1424084,0.02364656,0.08302748,,,,,
act,law,M+E+,法令,法律,0.01895734667778015,0.012208514846861362,,0.05767300724983215,0.06688912212848663,4.0,0.9400556087493896,0.4616446495056152,0.4930815994739532,0.4825299084186554,0.12176131457090378,"[{'zh': '法案', 'rcs': 0.4454802274703979, 'w': 0.26614844984605934}, {'zh': '行为', 'rcs': 0.2390476316213607, 'w': 0.25132162702027483}]","[{'zh': '法', 'rcs': 0.2337129563093185, 'w': 0.2736855016966749}, {'zh': '法学', 'rcs': 0.224108338356018, 'w': 0.2736855016966749}, {'zh': '条例', 'rcs': 0.4033472836017608, 'w': 0.16816545769600214}, {'zh': '规章', 'rcs': 0.3950570523738861, 'w': 0.16270222238125434}]",0.10860193674269338,3,3,法令,法,0.48433697,0.7413313,0.6128341,0.046152566,0.28575194,0.16595225,,,,,
act,pass,M+E-,法案,通过,0.0,0.023953361436724663,,0.036684006452560425,0.034067001193761826,0.0,2.395336151123047,0.4454802274703979,0.2044180333614349,0.2661484479904175,1.0,"[{'zh': '法令', 'rcs': 0.4616446495056152, 'w': 0.4825299231336659}, {'zh': '行为', 'rcs': 0.2390476316213607, 'w': 0.25132162702027483}]",[],0.5386903762666316,3,4,法令,通过,0.48433697,0.72805184,0.6061944,0.046152566,0.083074465,0.06461351,,,,,
act,play,M-E+,,,0.22274881601333618,0.0,,0.24189382791519165,0.0045631458051502705,47.0,0.0,,,,,,,1.0837769249245541,3,4,法令,踢,0.48433697,0.665364,0.5748505,0.046152566,0.61946994,0.33281127,,,,,
act,role,M-E+,,,0.014218009077012539,0.0,,0.3694418966770172,0.007640177384018898,3.0,0.0,,,,,,,1.1116615791713051,3,4,法令,角色,0.48433697,0.671434,0.5778855,0.046152566,0.21031521,0.1282339,,,,,
admit,wrong,M+E+,承认,错误,0.04032257944345474,0.045321010053157806,,0.18499362468719482,0.14460133016109467,5.0,5.030632019042969,0.3918687701225281,0.2394013404846191,1.0,0.19348585605621338,[],"[{'zh': '不对', 'rcs': 0.3043828010559082, 'w': 0.5024368319845721}, {'zh': '罪恶', 'rcs': 0.2624913156032562, 'w': 0.19557338751729986}, {'zh': '欺骗', 'rcs': 0.3031230568885803, 'w': 0.1085039195053539}]",1.2644533305096335,5,5,承认,不对,0.7650425,0.70452774,0.7347851,0.2197955,0.044334617,0.13206506,,,,,
admit,reality,M+E-,承认,事实,0.0,0.008200130425393581,,0.048797186464071274,0.09283409267663956,0.0,0.9102144241333008,0.3918687701225281,0.2586170732975006,1.0,0.2275536060333252,[],"[{'zh': '现实', 'rcs': 0.4420258700847626, 'w': 0.616428248041716}, {'zh': '真实', 'rcs': 0.3795920014381408, 'w': 0.15601814903442446}]",1.1784278340864636,5,7,承认,现实,0.7650425,0.7075588,0.73630065,0.2197955,0.4174735,0.3186345,,,,,
admit,lie,M-E+,,,0.05645161122083664,0.0,,0.12934015691280365,0.01545651350170374,7.0,0.0,,,,,,,1.2787908336647846,5,3,承认,躺下,0.7650425,0.34281954,0.553931,0.2197955,0.25746626,0.23863088,,,,,
advance,progress,M+E+,前进,进步,0.075581394135952,0.037796810269355774,,0.3157382309436798,0.1504528969526291,13.0,3.25052547454834,0.2028455138206482,0.3243353068828583,0.6015318036079407,0.7719638347625732,"[{'zh': '提出', 'rcs': 0.2202612161636352, 'w': 0.24968851770210312}, {'zh': '推动', 'rcs': 0.2115921080112457, 'w': 0.14877965564911094}]","[{'zh': '改进', 'rcs': 0.2230966836214065, 'w': 0.22803617965955836}]",0.6607375233446495,7,8,前进,进步,0.65046656,0.7347538,0.69261014,0.35668308,0.37269062,0.36468685,,,,,
advance,retreat,M+E+,前进,后退,0.029069768264889717,0.03456330671906471,,0.12797528505325317,0.078571617603302,5.0,2.972444534301758,0.2028455138206482,0.2127090394496917,0.6015318036079407,0.32943058013916016,"[{'zh': '提出', 'rcs': 0.2202612161636352, 'w': 0.24968851770210312}, {'zh': '推动', 'rcs': 0.2115921080112457, 'w': 0.14877965564911094}]","[{'zh': '离去', 'rcs': 0.2360912263393402, 'w': 0.32943057404184534}, {'zh': '撤退', 'rcs': 0.4532377123832702, 'w': 0.19843249043214495}, {'zh': '躲避', 'rcs': 0.2662482559680938, 'w': 0.14270636148416435}]",0.5143725988516868,7,7,前进,后退,0.65046656,0.6745377,0.66250217,0.35668308,0.2355647,0.2961239,,,,,
advance,suggestion,M+E-,提出,建议,0.0,0.020830074325203896,,0.0401233471930027,0.07125332951545715,0.0,2.5620992183685303,0.2202612161636352,0.3362186551094055,0.249688521027565,0.5400621891021729,"[{'zh': '前进', 'rcs': 0.2028455138206482, 'w': 0.6015318266487859}, {'zh': '推动', 'rcs': 0.2115921080112457, 'w': 0.14877965564911094}]","[{'zh': '暗示', 'rcs': 0.2843019366264343, 'w': 0.45993778315498657}]",1.4970662702869266,7,10,前进,建议,0.65046656,0.73404497,0.69225574,0.35668308,0.26263607,0.30965957,,,,,
advance,advise,M+E-,提出,建议,0.0,0.020524127408862114,,0.04170694947242737,0.07020677626132965,0.0,2.524467706680298,0.2202612161636352,0.3270377516746521,0.249688521027565,0.5321298837661743,"[{'zh': '前进', 'rcs': 0.2028455138206482, 'w': 0.6015318266487859}, {'zh': '推动', 'rcs': 0.2115921080112457, 'w': 0.14877965564911094}]","[{'zh': '通知', 'rcs': 0.32187220454216, 'w': 0.46787009062870627}]",0.7156799272232302,7,6,前进,建议,0.65046656,0.6997922,0.6751294,0.35668308,0.2748889,0.315786,,,,,
advance,issue,M+E-,提出,问题,0.0,0.015060697682201862,,0.0356726199388504,0.0311600212007761,0.0,1.8524659872055054,0.2202612161636352,0.2664293348789215,0.249688521027565,0.3091294765472412,"[{'zh': '前进', 'rcs': 0.2028455138206482, 'w': 0.6015318266487859}, {'zh': '推动', 'rcs': 0.2115921080112457, 'w': 0.14877965564911094}]","[{'zh': '出版', 'rcs': 0.2001121789216995, 'w': 0.3720432963388165}, {'zh': '发表', 'rcs': 0.2235456556081771, 'w': 0.31882723547447483}]",1.0699998561965491,7,5,前进,出版,0.65046656,0.74262786,0.6965472,0.35668308,0.17039411,0.2635386,,,,,
advance,payment,M-E+,,,0.03488372266292572,0.0,,0.18687887489795685,0.005242146085947752,6.0,0.0,,,,,,,1.2741893204206645,7,7,前进,付款,0.65046656,0.7139096,0.6821881,0.35668308,0.08376568,0.22022438,,,,,
advance,charge,M-E+,,,0.029069768264889717,0.0,,0.22130297124385834,0.013780741952359676,5.0,0.0,,,,,,,1.1111996531970192,7,6,前进,职责,0.65046656,0.58912575,0.61979616,0.35668308,0.010536206,0.18360963,,,,,
advise,opinion,M+E+,建议,意见,0.024390242993831635,0.032054346054792404,,0.08197575807571411,0.05386510491371155,4.0,3.013108253479004,0.3270377516746521,0.4700506031513214,0.5321298837661743,0.2177828848361969,"[{'zh': '通知', 'rcs': 0.32187220454216, 'w': 0.46787009062870627}]","[{'zh': '观念', 'rcs': 0.3667425811290741, 'w': 0.2362856735324433}, {'zh': '想法', 'rcs': 0.3472108840942383, 'w': 0.19114166205209354}, {'zh': '信仰', 'rcs': 0.2899017035961151, 'w': 0.19054157480947417}, {'zh': '看法', 'rcs': 0.4761859774589538, 'w': 0.16424819916768768}]",0.8310490097402535,6,7,建议,观念,0.6997922,0.6799169,0.68985456,0.2748889,0.077051155,0.17597003,,,,,
advise,verdict,M+E-,建议,意见,0.0,0.02611592411994934,,0.06505635380744934,0.04388600215315819,0.0,2.4548966884613037,0.3270377516746521,0.3513726890087127,0.5321298837661743,0.1774362027645111,"[{'zh': '通知', 'rcs': 0.32187220454216, 'w': 0.46787009062870627}]","[{'zh': '结论', 'rcs': 0.2858026623725891, 'w': 0.3202851958910196}, {'zh': '裁决', 'rcs': 0.4689193367958069, 'w': 0.3076913018632092}, {'zh': '决定', 'rcs': 0.3202519416809082, 'w': 0.19458729317787954}]",0.5111449077097775,6,7,建议,结论,0.6997922,0.76673824,0.7332652,0.2748889,0.217066,0.24597746,,,,,
advise,thee,M+E-,建议,你,0.0,0.016982868313789368,,0.012594720348715782,0.09301629662513733,0.0,1.596389651298523,0.3270377516746521,0.4074054062366485,0.5321298837661743,1.0,"[{'zh': '通知', 'rcs': 0.32187220454216, 'w': 0.46787009062870627}]",[],1.1563231669198355,6,4,建议,你,0.6997922,0.62131226,0.66055226,0.2748889,0.3899381,0.3324135,,,,,
advise,thou,M+E-,建议,你,0.0,0.016982868313789368,,0.01394522376358509,0.09301629662513733,0.0,1.596389651298523,0.3270377516746521,0.3299756944179535,0.5321298837661743,1.0,"[{'zh': '通知', 'rcs': 0.32187220454216, 'w': 0.46787009062870627}]",[],1.035565014227051,6,4,建议,你,0.6997922,0.63962114,0.6697067,0.2748889,0.3731908,0.32403985,,,,,
advise,advance,M+E-,建议,提出,0.0,0.011307806707918644,,0.04170694947242737,0.07020677626132965,0.0,1.0629338026046753,0.3270377516746521,0.2202612161636352,0.5321298837661743,0.249688521027565,"[{'zh': '通知', 'rcs': 0.32187220454216, 'w': 0.46787009062870627}]","[{'zh': '前进', 'rcs': 0.2028455138206482, 'w': 0.6015318266487859}, {'zh': '推动', 'rcs': 0.2115921080112457, 'w': 0.14877965564911094}]",0.7156799272232302,6,7,建议,前进,0.6997922,0.65046656,0.6751294,0.2748889,0.35668308,0.315786,,,,,
advise,wisdom,M-E+,,,0.030487805604934692,0.0,,0.16650345921516418,0.003791951574385166,5.0,0.0,,,,,,,0.47088820428165606,6,6,建议,睿智,0.6997922,0.6844472,0.6921197,0.2748889,0.06758612,0.17123751,,,,,
ahead,race,M+E+,领先,比赛,0.01875000074505806,0.04363914951682091,,0.13002924621105194,0.21475853025913239,3.0,4.582110404968262,0.2306931912899017,0.3233467042446136,1.0,0.5091233849525452,[],"[{'zh': '赛跑', 'rcs': 0.2542572319507599, 'w': 0.4908766391380848}]",0.9679206961322164,5,4,领先,比赛,0.6015123,0.66972494,0.6356186,0.15678556,0.09689766,0.1268416,,,,,
ahead,match,M+E-,领先,比赛,0.0,0.031019512563943863,,0.03888131305575371,0.2664729356765747,0.0,3.2570488452911377,0.2306931912899017,0.3792346715927124,1.0,0.36189430952072144,[],"[{'zh': '竞赛', 'rcs': 0.2786668241024017, 'w': 0.6381056929433434}]",1.3050339544061125,5,5,领先,竞赛,0.6015123,0.46755102,0.53453165,0.15678556,0.010955539,0.08387055,,,,,
ahead,before,M-E+,,,0.05000000074505806,0.0,,0.321734756231308,0.022099999710917473,8.0,0.0,,,,,,,1.321371203621875,5,6,领先,之前,0.6015123,0.79688203,0.6991972,0.15678556,0.7139149,0.4353502,,,,,
ahead,look,M-E+,,,0.03125,0.0,,0.13816238939762115,0.0068376800045371056,5.0,0.0,,,,,,,1.327797220886695,5,4,领先,眼神,0.6015123,0.51008326,0.5557978,0.15678556,0.05013301,0.10345928,,,,,
ahead,above,M-E+,,,0.02500000037252903,0.0,,0.24681410193443298,0.032600000500679016,4.0,0.0,,,,,,,0.8179047903571086,5,5,领先,上面,0.6015123,0.74514145,0.67332685,0.15678556,0.8010543,0.47891992,,,,,
ahead,straight,M-E+,,,0.02500000037252903,0.0,,0.17285503447055817,0.03252426162362099,4.0,0.0,,,,,,,1.4957079759016962,5,8,领先,笔直,0.6015123,0.64216846,0.62184036,0.15678556,0.013264977,0.08502527,,,,,
ahead,stop,M-E+,,,0.01875000074505806,0.0,,0.09625590592622757,0.017658567056059837,3.0,0.0,,,,,,,1.055181937127127,5,4,领先,阻拦,0.6015123,0.7182478,0.65988004,0.15678556,0.09804956,0.12741756,,,,,
animal,cat,M+E+,动物,猫,0.14457830786705017,0.06921393424272537,,0.30554860830307007,0.22752249240875244,24.0,10.036020278930664,0.5035275816917419,0.4880292117595672,0.5903541445732117,1.0,"[{'zh': '兽', 'rcs': 0.3038774132728576, 'w': 0.2910345454408785}, {'zh': '牲畜', 'rcs': 0.2842504382133484, 'w': 0.11861132141469986}]",[],1.488277109658928,6,3,动物,猫,0.84472525,0.82852244,0.83662385,0.6573555,0.70452857,0.68094206,,,,,
animal,lion,M+E+,兽,狮子,0.01807228848338127,0.01628563180565834,,0.37957504391670227,0.3275284767150879,3.0,2.3614165782928467,0.3038774132728576,0.4708922505378723,0.2910345494747162,1.0,"[{'zh': '动物', 'rcs': 0.5035275816917419, 'w': 0.5903541331444218}, {'zh': '牲畜', 'rcs': 0.2842504382133484, 'w': 0.11861132141469986}]",[],1.1804805255717308,6,4,动物,狮子,0.84472525,0.8407687,0.842747,0.6573555,0.5122847,0.5848201,,,,,
animal,tiger,M+E+,兽,老虎,0.01807228848338127,0.014848701655864716,,0.3678801357746124,0.15800829231739044,3.0,1.4758853912353516,0.3038774132728576,0.4313721656799316,0.2910345494747162,0.5,"[{'zh': '动物', 'rcs': 0.5035275816917419, 'w': 0.5903541331444218}, {'zh': '牲畜', 'rcs': 0.2842504382133484, 'w': 0.11861132141469986}]","[{'zh': '虎', 'rcs': 0.3992377817630768, 'w': 0.5}]",0.7773738714332276,6,5,动物,老虎,0.84472525,0.8509514,0.8478383,0.6573555,0.7101404,0.68374795,,,,,
animal,world,M+E-,动物,世界,0.0,0.02442844770848751,,0.04042018577456474,0.03589353337883949,0.0,3.5421247482299805,0.5035275816917419,0.2459629625082016,0.5903541445732117,1.0,"[{'zh': '兽', 'rcs': 0.3038774132728576, 'w': 0.2910345454408785}, {'zh': '牲畜', 'rcs': 0.2842504382133484, 'w': 0.11861132141469986}]",[],1.3570367305685915,6,5,动物,世界,0.84472525,0.7565454,0.80063534,0.6573555,0.47041208,0.5638838,,,,,
animal,kingdom,M-E+,,,0.024096384644508362,0.0,,0.1099073588848114,0.03878626972436905,4.0,0.0,,,,,,,1.0999119131638262,6,7,动物,王国,0.84472525,0.7754183,0.81007177,0.6573555,0.27346176,0.46540862,,,,,
ant,insect,M+E+,蚂蚁,虫子,0.13592232763767242,0.010758522897958755,,0.5079202055931091,0.26686516404151917,28.0,1.0758522748947144,0.4490404427051544,0.4178762137889862,1.0,0.17681148648262024,[],"[{'zh': '昆虫', 'rcs': 0.5149978995323181, 'w': 0.5379261318522488}, {'zh': '虫', 'rcs': 0.4291726052761078, 'w': 0.28526238881707106}]",1.4833067134279878,3,6,蚂蚁,昆虫,0.739718,0.77855885,0.75913846,0.32270637,0.4634991,0.39310274,,,,,
ant,bug,M+E+,蚂蚁,虫子,0.10679611563682556,0.029999999329447746,,0.41307124495506287,0.44850000739097595,22.0,3.0,0.4490404427051544,0.3271892368793487,1.0,1.0,[],[],0.7478751375438044,3,3,蚂蚁,虫子,0.739718,0.7200527,0.72988534,0.32270637,0.3248601,0.32378322,,,,,
ant,rain,M+E-,蚂蚁,下雨,0.0,0.01666666753590107,,0.011562460102140903,0.029200000688433647,0.0,1.6666667461395264,0.4490404427051544,0.3673711121082306,1.0,0.3333333432674408,[],"[{'zh': '雨水', 'rcs': 0.252083271741867, 'w': 0.3333333333333333}, {'zh': '雨', 'rcs': 0.2526227235794067, 'w': 0.3333333333333333}]",1.2935850867523107,3,4,蚂蚁,下雨,0.739718,0.7865754,0.7631467,0.32270637,0.34192422,0.3323153,,,,,
ant,aunt,M-E+,,,0.02427184395492077,0.0,,0.13037940859794617,0.00355999986641109,5.0,0.0,,,,,,,1.4968643505774277,3,4,蚂蚁,阿姨,0.739718,0.70044076,0.7200794,0.32270637,0.41933,0.37101817,,,,,
apron,skirt,M+E+,围裙,裙子,0.024390242993831635,0.037383176386356354,,0.2311907410621643,0.23800000548362732,4.0,4.0,0.349572092294693,0.5682624578475952,1.0,1.0,[],[],0.7114062599838478,5,5,围裙,裙子,0.79465485,0.80305314,0.798854,0.7986073,0.22214247,0.5103749,,,,,
apron,naked,M+E-,围裙,裸体,0.0,0.037383176386356354,,0.05671684071421623,0.17419999837875366,0.0,4.0,0.349572092294693,0.2889682352542877,1.0,1.0,[],[],1.491587451966491,5,5,围裙,裸体,0.79465485,0.70399815,0.74932647,0.7986073,0.076493606,0.43755046,,,,,
apron,nudity,M+E-,围裙,裸体,0.0,0.037383176386356354,,0.0466647706925869,0.17419999837875366,0.0,4.0,0.349572092294693,0.3531984090805053,1.0,1.0,[],[],0.8756924614022852,5,6,围裙,裸体,0.79465485,0.71282375,0.7537393,0.7986073,0.07307381,0.43584055,,,,,
apron,soot,M+E-,围裙,油烟,0.0,0.028037382289767265,,0.06894893944263458,0.3928000032901764,0.0,3.0,0.349572092294693,0.4800615310668945,1.0,1.0,[],[],0.7271609863723488,5,4,围裙,油烟,0.79465485,0.643636,0.7191454,0.7986073,0.13607514,0.4673412,,,,,
apron,string,M-E+,,,0.018292682245373726,0.0,,0.19129449129104614,0.03039167821407318,3.0,0.0,,,,,,,0.9751721265156823,5,6,围裙,弦,0.79465485,0.6284958,0.7115753,0.7986073,0.254066,0.52633667,,,,,
area,size,M+E+,面积,大小,0.01895734667778015,0.008177678100764751,,0.2321426272392273,0.03834998980164528,4.0,0.9077222943305969,0.4091840088367462,0.4515088200569153,0.3281557261943817,0.2766132652759552,"[{'zh': '场地', 'rcs': 0.2410415709018707, 'w': 0.3281557120225794}, {'zh': '地域', 'rcs': 0.3876585662364959, 'w': 0.14713191289801802}, {'zh': '区', 'rcs': 0.4339649677276611, 'w': 0.11992787865294534}, {'zh': '地方', 'rcs': 0.3078873455524444, 'w': 0.07662878440387767}]","[{'zh': '尺码', 'rcs': 0.3194508850574493, 'w': 0.4515439322200142}, {'zh': '尺寸', 'rcs': 0.4119665622711181, 'w': 0.27184279219723045}]",0.6113171247075178,4,4,场地,尺码,0.67047954,0.7231789,0.6968292,0.15819186,0.100220434,0.12920615,,,,,
area,tiny,M+E-,面积,小,0.0,0.008869074285030365,,0.034679099917411804,0.062480852007865906,0.0,0.9844671487808228,0.4091840088367462,0.2397595345973968,0.3281557261943817,1.0,"[{'zh': '场地', 'rcs': 0.2410415709018707, 'w': 0.3281557120225794}, {'zh': '地域', 'rcs': 0.3876585662364959, 'w': 0.14713191289801802}, {'zh': '区', 'rcs': 0.4339649677276611, 'w': 0.11992787865294534}, {'zh': '地方', 'rcs': 0.3078873455524444, 'w': 0.07662878440387767}]",[],0.7309086654512293,4,4,场地,小,0.67047954,0.7488599,0.7096697,0.15819186,0.03771031,0.097951084,,,,,
